assignment_code	Week_number	Day_number	sequence_number	project	project_name	description
W4D3-2	4	3	2	false		Morbi gravida, eros eget accumsan congue, nisi quam mollis justo, in interdum lacus sapien non metus. Nunc et mauris et arcu accumsan convallis interdum a nisi. Fusce posuere nulla dolor, id aliquam augue iaculis at. Morbi aliquam sollicitudin odio, id faucibus dui bibendum et. Cras convallis malesuada massa. Integer mauris augue, blandit vitae metus sit amet, euismod pellentesque dolor. Nunc vel gravida lectus. Maecenas non urna eget urna finibus consequat pellentesque sed lorem.
W4D3-3	4	3	3	false		Nam pharetra consequat erat a consequat. Integer faucibus nunc et rhoncus dapibus. Fusce posuere, nisl nec porttitor lacinia, sem lacus iaculis tortor, et porttitor orci enim ut est. Sed sed dui id mauris molestie interdum ut nec orci. Maecenas ac mauris in sem rutrum eleifend ut nec sapien. Vivamus in ornare odio. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed et sapien blandit, auctor lacus sed, semper ex. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Curabitur enim magna, tincidunt bibendum urna pulvinar, rutrum vehicula metus. Suspendisse consectetur sem vitae tellus ultricies, non lacinia est mattis. Ut pulvinar vestibulum turpis eu porta. Nunc porta rhoncus elit eget aliquam. Nulla facilisi.
W4D3-4	4	3	4	false		Sed semper luctus elit, eget commodo ex egestas vitae. Cras lacus ligula, scelerisque rhoncus metus ac, feugiat commodo tellus. Etiam rhoncus dolor sed leo pharetra, mollis efficitur tortor gravida. In sit amet massa urna. Praesent lobortis condimentum laoreet. Nunc eget risus arcu. Integer eleifend metus nec ante pretium, non gravida nibh faucibus. Duis scelerisque ex id justo venenatis posuere. Vestibulum a tellus et eros ornare condimentum vel sed nunc. Curabitur sagittis libero vel lacus varius, in vestibulum augue ullamcorper. Nulla in viverra nisl.
W4D3-5	4	3	5	false		Nullam lectus eros, mattis sit amet gravida mollis, feugiat eget est. Vestibulum facilisis facilisis iaculis. Pellentesque sed ipsum odio. In volutpat metus quis tortor facilisis vehicula. Praesent semper molestie lobortis. Aenean felis magna, sodales at velit id, dictum pulvinar metus. Nulla facilisi. Nunc tempus, augue ac tincidunt porttitor, sapien libero luctus tortor, sit amet condimentum urna lectus ut est. Praesent vitae quam et ante finibus laoreet. Mauris congue efficitur luctus. Proin posuere risus enim.
W4D3 - Project - Next-Level CSS	4	3		true	Next-Level CSS	Nulla suscipit justo et justo aliquam dictum eget mattis dui. Vestibulum rhoncus nulla eget fermentum sodales. Quisque eu lectus vitae mi ullamcorper facilisis. Vivamus suscipit interdum diam, id aliquam tortor blandit eu. Aliquam nec ante tortor. Phasellus placerat metus vitae tellus imperdiet, eu dapibus lacus vulputate. Etiam nec iaculis elit, ac placerat elit. Donec gravida dapibus mi eget maximus. Phasellus quis laoreet augue, nec bibendum lectus. Phasellus turpis tellus, auctor id varius eget, tincidunt vitae metus. Maecenas nec nunc rhoncus, scelerisque mi non, scelerisque magna. Nam volutpat lacus mi, ac elementum tellus ultricies et.
W5D4-1	5	4	1	false		Cras sapien purus, feugiat sit amet justo a, tristique viverra orci. Integer et odio vel ex iaculis accumsan. Integer interdum libero mauris, quis porta urna sollicitudin eleifend. Duis blandit ornare ex, et faucibus dui sodales vitae. Interdum et malesuada fames ac ante ipsum primis in faucibus. Quisque ultricies tincidunt fermentum. Sed fringilla, urna nec pellentesque venenatis, orci nisi faucibus ligula, eget vestibulum nulla dolor et lorem. Phasellus euismod maximus magna in vulputate. Cras quis arcu sagittis, finibus turpis in, condimentum eros. Quisque augue nisi, venenatis quis faucibus rutrum, auctor vehicula eros.
W5D5 - Project - Lil_Playlist	5	5		true	Lil_Playlist	Suspendisse tempor lectus quis metus pharetra consectetur. Suspendisse vitae urna ac libero vulputate viverra sit amet nec dui. Suspendisse potenti. Vivamus dignissim, dolor quis congue maximus, turpis diam finibus quam, vitae dapibus orci turpis eu dolor. Suspendisse rhoncus ex mattis libero tempus egestas. Fusce sit amet nunc risus. Aenean mattis nisi turpis, quis tincidunt felis gravida vitae. Vestibulum aliquet pharetra elit, id lacinia nisi hendrerit at. Vivamus id consequat dui, sed imperdiet diam. Nunc sit amet enim aliquam, tristique neque sed, ornare odio. Aliquam luctus lorem eget enim laoreet tristique. Nunc et sollicitudin sem, eget vulputate nunc. Phasellus mattis ligula quam, tincidunt malesuada eros malesuada vel. Mauris nec libero vitae turpis pulvinar euismod non id nibh. Fusce fermentum ipsum eget augue euismod, non tempus sapien vulputate. Integer malesuada urna dolor, vel vestibulum lectus faucibus ac.
W6D1-1	6	1	1	false		Curabitur congue mi vestibulum, ultricies est sed, dapibus nunc. Praesent vel accumsan massa. Donec pharetra libero id vestibulum convallis. Donec euismod feugiat nisl, at porta ante venenatis nec. Vivamus elementum varius nulla ac ullamcorper. Pellentesque et justo iaculis, pellentesque tortor pharetra, mollis mi. Sed erat tellus, congue in pulvinar quis, porta non arcu. Vestibulum lobortis dictum suscipit. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Pellentesque tempus lorem a venenatis fringilla. Integer commodo varius enim, et euismod justo egestas tempor. Donec maximus nunc quis velit lobortis tincidunt. Nulla sagittis sapien quam, eget dictum risus finibus eu. Praesent varius aliquam ex, sit amet venenatis ligula sodales ac. Pellentesque semper justo eget dui mollis gravida.
W6D2-1	6	2	1	false		Sed ipsum lectus, lacinia a turpis at, porta dignissim est. Nam quis dapibus libero, sed ultrices tellus. Vestibulum sollicitudin elementum dolor vel dictum. Praesent aliquet fringilla varius. Etiam ullamcorper arcu volutpat sem pretium, sit amet interdum leo convallis. Ut auctor condimentum sapien, eget pretium felis pharetra ac. Curabitur sodales accumsan lacus, vel aliquet metus auctor quis. Sed consectetur libero nec ligula imperdiet, ac imperdiet ex rutrum. Suspendisse hendrerit arcu eu molestie venenatis. Vivamus volutpat rhoncus mauris non dapibus.
W6D2 - Project - Eindopdracht	6	2		true	Eindopdracht	Nullam lorem arcu, bibendum vitae dui quis, vulputate feugiat tortor. Integer eget neque blandit, tempus odio sit amet, finibus dui. Maecenas ante ex, laoreet ut lorem eget, dignissim tempus velit. Vivamus sed egestas sapien, quis placerat velit. Nam id tellus lacus. Aliquam erat volutpat. Vestibulum scelerisque et orci nec pellentesque. Nunc leo tortor, interdum dignissim placerat sed, dapibus eu tortor. Morbi ut facilisis urna.
Test	0	0	0	true	Test	bla
